month,intercept,slope,R2,N,BM_p01,BM_p99,BM_CZ_p01,BM_CZ_p99,date
1991-12,0.044727026483998955,0.9641618245455854,0.9461893588697529,3133.0,0.04094198122835904,6.091946784184505,0.033935064939763365,6.143709725444389,1991-12-31
1992-01,0.039571967972957145,0.9701179218802787,0.9388711342206547,3098.0,0.04071686985157921,6.120086124670788,0.03050143831035197,6.435481449383409,1992-01-31
1992-02,0.05983949072712935,0.9504225528698725,0.9293384514578505,3088.0,0.0405439152381778,6.097236371895798,0.027551549847366442,6.123720524789817,1992-02-29
1992-03,0.0786585754358684,0.9293857207741879,0.9054862370183416,3075.0,0.04031907424075596,6.089271675268774,0.018293870377446123,6.089271675268774,1992-03-31
1992-04,0.09517971161365968,0.9158368447496671,0.8865213747254075,3064.0,0.0401288241660144,6.034774436090215,0.01806536661849529,5.9790941986693085,1992-04-30
1992-05,0.10549198999224929,0.9064394310683634,0.8759604699896598,3045.0,0.03980021040055172,6.052631578947364,0.016602287952376893,5.958724757791524,1992-05-31
1992-06,0.008771177884342674,1.012752509699219,0.9369092779250805,3172.0,0.024782261325385385,5.297094294536935,0.01809845117323756,5.338307589854549,1992-06-30
1992-07,0.010288740683539466,1.006825774869455,0.9505550138544593,3154.0,0.02518024591563078,5.304133172360221,0.019960449035699754,5.346655141242929,1992-07-31
1992-08,0.010136969414184072,1.0051447866932028,0.9593682751924051,3129.0,0.025089595489323532,5.272380596524619,0.02036911664346426,5.313909391559239,1992-08-31
1992-09,0.009321524632682654,1.0085577116916473,0.9733310286706817,3110.0,0.025020701165330023,5.281455324777746,0.02128308485013895,5.321339318150495,1992-09-30
1992-10,0.009702578744545165,1.0059537489521007,0.9784731486307494,3097.0,0.025336164648879243,5.287318075337917,0.02005540842227373,5.326713768481787,1992-10-31
1992-11,0.01219832649528374,1.0028114609725955,0.984092823246112,3079.0,0.028869049792405815,5.248499732700606,0.029168096289713938,5.248499732700606,1992-11-30
1992-12,0.028261357745770654,0.9878027913201095,0.9617524369103644,3068.0,0.02912687238355636,5.253753522741895,0.029424812822719852,5.253753522741895,1992-12-31
1993-01,0.035820914013969585,0.9768116656103146,0.9579836344282595,3046.0,0.029458116717710314,5.264261102824473,0.030406804107670098,5.223361561233828,1993-01-31
1993-02,0.04027426099413356,0.9737323180154182,0.9538706108050261,3041.0,0.02945334126748178,5.266649189206861,0.03170517417611044,5.224987182498733,1993-02-28
1993-03,0.04898346750297877,0.9646277537835449,0.9422877679613445,3022.0,0.02992885347436564,5.275723917459988,0.03160871757256293,5.231164543305408,1993-03-31
1993-04,0.05023069645790146,0.9654369154998451,0.9334187785758286,3004.0,0.03151733763236008,5.284321028436626,0.029383478932599436,5.246776042330075,1993-04-30
1993-05,0.053530013512013475,0.9619738440816799,0.9307776466612603,3001.0,0.03150210764232626,5.285753880266076,0.0295106466702242,5.247047709022201,1993-05-31
1993-06,0.0023392578918749463,1.0182646951588332,0.949206083429814,3213.0,0.031617375304353365,3.8081916795212347,0.024223898065760963,4.050030886789432,1993-06-30
1993-07,0.01011864945435359,1.0062459271230277,0.9559803510087501,3209.0,0.031551838545343054,3.8102108634309317,0.02441221066953954,3.9443229737780587,1993-07-31
1993-08,0.009225284762117592,1.0066768485827426,0.9625561987041684,3200.0,0.031414000686785376,3.816735771195828,0.024720459306017597,3.956706428915911,1993-08-31
1993-09,0.013312729558085712,1.0000622061952158,0.968342255792119,3197.0,0.0313937076651742,3.765788817417551,0.027879924161578355,3.8199046113602217,1993-09-30
1993-10,0.013685186225855794,0.9986973221013091,0.9723119353326637,3185.0,0.032797036966538975,3.771846369146642,0.03491418928507036,3.836870751689909,1993-10-31
1993-11,0.009633678680759816,1.0059686708179338,0.9811225203482253,3178.0,0.03386635233973867,3.7753799409886235,0.037255667629463814,3.8714396499982393,1993-11-30
1993-12,0.031078494258529488,0.976121427117165,0.9533071466070487,3162.0,0.03369862904890055,3.56683283548631,0.034206074318702644,3.589456289707523,1993-12-31
1994-01,0.03312969825766132,0.9726509335120423,0.9448953697157823,3125.0,0.03445343000214954,3.5270549400170004,0.03216555796799118,3.57780070435253,1994-01-31
1994-02,0.03357798538991075,0.9741459767111571,0.9368608042574715,3113.0,0.03436127814556537,3.4296744581259504,0.03185894271499214,3.5491987214772744,1994-02-28
1994-03,0.04211340889743609,0.9655243600690679,0.9197770951418187,3094.0,0.03403407563057679,3.4199133223826426,0.028862106371665915,3.548758197435137,1994-03-31
1994-04,0.04865813259660268,0.9591086918377848,0.9018686894151211,3086.0,0.03424487553118179,3.420877385172104,0.027909557074965112,3.5488017059825085,1994-04-30
1994-05,0.05091136787848771,0.9577322861907833,0.899931742188347,3079.0,0.033876835045416054,3.4217209401128805,0.02572148194803402,3.5488397759614587,1994-05-31
1994-06,0.01534758410646797,0.9893710871058194,0.9139469861158596,3355.0,0.03535219849153158,2.842778205399438,0.02611888485801136,2.9716869394007563,1994-06-30
1994-07,0.018447816203054246,0.9820034799634512,0.9316525941320393,3351.0,0.03529547757848581,2.8430926040564417,0.02690805257908345,2.8917832699980046,1994-07-31
1994-08,0.01402450836350666,0.9917194417436829,0.9456235644561509,3346.0,0.03522457643717858,2.8434856023776987,0.03144092527432401,2.8948795725650065,1994-08-31
1994-09,0.01676156705916676,0.9925064449268237,0.9551568909831257,3343.0,0.036110231641064174,2.8437214013704497,0.03611023164106411,2.859133658374658,1994-09-30
1994-10,0.016234880926166873,0.9956276015153558,0.9588953985709379,3328.0,0.03496933232847256,2.8183633739875003,0.036472889464979404,2.8550090800098045,1994-10-31
1994-11,0.015149619737116149,0.9963978828087859,0.9698179377802364,3319.0,0.03484171027411955,2.825296456272975,0.037310184323679205,2.849590857949072,1994-11-30
1994-12,0.025446700516239762,0.9862302725009646,0.9544291781429481,3302.0,0.0362613132772055,2.8383922783677105,0.03877588648272815,2.8501233043095744,1994-12-31
