date,cp_t
1959-08-01,0.01607122223500898
1959-09-01,0.011984266992829645
1959-10-01,0.025551553942120667
1959-11-01,0.019518931309410882
1959-12-01,0.01102043092851265
1960-01-01,0.011156297621357055
1960-02-01,0.015368311035267031
1960-03-01,0.016273658440277936
1960-04-01,0.022746181743754958
1960-05-01,0.012963438018498741
1960-06-01,0.02062694293036573
1960-07-01,0.025327411877722777
1960-08-01,0.02595256825307978
1960-09-01,0.03599223643521187
1960-10-01,0.02921080860287983
1960-11-01,0.03404372029304775
1960-12-01,0.024112497147524045
1961-01-01,0.024342896760658775
1961-02-01,0.019288345760613026
1961-03-01,0.014791104192050136
1961-04-01,0.004369743351562878
1961-05-01,0.002620559408066339
1961-06-01,0.02114940586662806
1961-07-01,0.023014325519776776
1961-08-01,0.02965593587186463
1961-09-01,0.025200522877964288
1961-10-01,0.015169031808999131
1961-11-01,0.010081088080677796
1961-12-01,0.017232473277538227
1962-01-01,0.01938177114502178
1962-02-01,0.016722612636501884
1962-03-01,0.01981779276825849
1962-04-01,0.01932718310858997
1962-05-01,0.019606356952498134
1962-06-01,0.01689136931846423
1962-07-01,0.01394727617409124
1962-08-01,0.016466815787625228
1962-09-01,0.01592631773448682
1962-10-01,0.013472521399976692
1962-11-01,0.014151361013857656
1962-12-01,0.013395399264643986
1963-01-01,0.01652660912144207
1963-02-01,0.01669770056672435
1963-03-01,0.02151576693277749
1963-04-01,0.01946100875637301
1963-05-01,0.02027376091255962
1963-06-01,0.02151588526568196
1963-07-01,0.014913407741127881
1963-08-01,0.014067845786883925
1963-09-01,0.013558534626644459
1963-10-01,0.014446416542918991
1963-11-01,0.011420328791484038
1963-12-01,0.013068214675647893
1964-01-01,0.010137515919519103
1964-02-01,0.009689895108448924
1964-03-01,0.014203642688197314
1964-04-01,0.013874647862262987
1964-05-01,0.013887603743417187
1964-06-01,0.01473342830583561
1964-07-01,0.016584244205833716
1964-08-01,0.015399971946336313
1964-09-01,0.014176307233091875
1964-10-01,0.012442670045485788
1964-11-01,0.009413898760389536
1964-12-01,0.008430647821258696
1965-01-01,0.007059704083334718
1965-02-01,0.004286615980478269
1965-03-01,0.0052125099857215605
1965-04-01,0.006006863438989998
1965-05-01,0.005886015156666383
1965-06-01,0.009450586766884317
1965-07-01,0.012508606000767447
1965-08-01,0.011279558902220231
1965-09-01,0.009928433374716737
1965-10-01,0.012397996665387451
1965-11-01,0.013789132093502954
1965-12-01,0.014531000708094596
1966-01-01,0.01426069153977957
1966-02-01,0.014468666931835416
1966-03-01,0.01214911249474893
1966-04-01,0.010741431528920202
1966-05-01,0.01303011541667979
1966-06-01,0.014444881194537698
1966-07-01,0.013355285895766025
1966-08-01,0.016755163025943896
1966-09-01,0.008696917548230793
1966-10-01,0.00851160358516315
1966-11-01,0.012322874600808442
1966-12-01,0.007396586547418645
1967-01-01,0.015271787096164773
1967-02-01,0.013303774306335388
1967-03-01,0.015160286192147016
1967-04-01,0.020518103200091446
1967-05-01,0.019122952915240327
1967-06-01,0.01660676922462934
1967-07-01,0.01155566594911394
1967-08-01,0.011317777832492628
1967-09-01,0.01504957488065405
1967-10-01,0.010845764077147026
1967-11-01,0.008949348958442412
1967-12-01,0.012686503960263083
1968-01-01,0.01552579975398806
1968-02-01,0.016934931002815606
1968-03-01,0.021178560532275962
1968-04-01,0.021689262199572838
